Sr. No.,Product ID,Model Number,Product Name,Brand,product_name_sap,product_name_amazon_uk,product_name_amazon_uae,product_name_ebay,product_id,product_id_type,seller_sku,category,subtitle,brand,manufacturer,manufacturer_part_number,condition_type,feed_product_type,update_delete,recommended_browse_nodes,product_description_amazon_uk,product_description_amazon_uae,product_description_ebay,product_attribute_list_amazon_uk,product_attribute_list_amazon_uae,product_attribute_list_ebay,search_terms,color_map,color,enclosure_material,cover_material_type,special_features,package_length,package_length_metric,package_width,package_width_metric,package_height,package_height_metric,package_weight,package_weight_metric,shipping_weight,shipping_weight_metric,item_display_weight,item_display_weight_metric,item_display_volume,item_display_volume_metric,item_display_length,item_display_length_metric,item_weight,item_weight_metric,item_length,item_length_metric,item_width = False,item_width_metric,item_height,item_height_metric,item_display_width,item_display_width_metric,item_display_height,item_display_height_metric,item_condition_note,max_order_quantity,number_of_items,wattage,wattage_metric,material_type,parentage,parent_sku,relationship_type,variation_theme,standard_price,quantity,sale_price,sale_from,sale_end,barcode,barcode_string,outdoor_price,pfl_product_features
13,6294009905297,RF1150DR,Royalford RF1150DR 2-Layer Dish Rack,Royalford,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
14,6294009905303,RF1151DRL,Royalford RF1151DR Large Dish Rack,Royalford,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
15,6294009905341,RF1155GH8,Royalford RF1155GH8 Glass Holder,Royalford,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
16,6294009905563,RF1177,"RoyalFord RF1177 Stainless Steel Food Tongs, 7.5",Royalford,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
17,6294009905570,RF1178,"Royalford RF1178 Stainless Steel Food Tongs, 8.5",Royalford,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
18,6294009905631,RF1184-O,"Royalford 3-in-1 Can Opener with Stainless Steel Tube Handle | Manual Tin Can Opener | Easy to Use Bottle Cap Opener, Can Tin & Jar Opener All-in-1 | Easy Turn Knob and Ergonomic Soft Grips Handles",Royalford,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0
19,6294009905648,RF1185-BO,Royalford Stainless Steel Bottle Opener – Opener with Forked Church Key and Crown Cork – Ideal for Opening Bottles and Piercing Cans – Ergonomically Designed Handle with Hanging Loop – Stylish Design,Royalford,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0
20,6294009905679,RF1188-FP,Royalford RF1188-FP Stainless Steel Peeler,Royalford,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
21,6294009905686,RF1189-TP,Royalford RF1189-TP Stainless Steel Triangle Peeler,Royalford,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
22,6294009905754,RF1196-NSS,RoyalFord RF1196-NSS Nylon Slotted Spatula,Royalford,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
