TemplateType=fptcustom,Version=2019.0416,TemplateSignature=S0lUQ0hFTg==,The top 3 rows are for Amazon.com use only. Do not modify or delete the top 3 rows.,,,,,,,,Images,,,,,,,,,Variation,,,,Basic,,,,Discovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Product Enrichment,,,,,,,,,,,,,,,,,Dimensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fulfillment,,,,,,,Compliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offer,,,,,,,,,,,,,,,,,,,,,,,,,,b2b,,,,,,,,,,,,,,
Product Type,Seller SKU,Brand Name,Product ID,Product ID Type,Item Name (aka Title),Manufacturer,Recommended Browse Nodes,Standard Price,Quantity,Main Image URL,Other Image Url1,Other Image Url2,Other Image Url3,Other Image Url4,Other Image Url5,Other Image Url6,Other Image Url7,Other Image Url8,Swatch Image URL,Parentage,Parent SKU,Relationship Type,Variation Theme,Update Delete,GTIN Exemption Reason,Manufacturer Part Number,Product Description,Wattage Unit Of Measure,runtime_unit_of_measure,Output Capacity Unit Of Measure,Merchant Catalogue Number,Key Product Features,Key Product Features,Key Product Features,Key Product Features,Key Product Features,Search Terms,Platinum Keyword,Platinum Keyword,Platinum Keyword,Platinum Keyword,Platinum Keyword,Home & Furniture Target Audience,Scent,Wattage,Colour,Color Map,Size,Number Of Pieces,Material Type,Special Features,Special Features,Special Features,Special Features,Special Features,Runtime,Operating Type,Iron & Steamer Steam Output,Iron & Steamer Pressure,Iron & Steamer Pressure Unit of Measure,Sound Level,Noise Level Unit Of Measure,Compatible Devices,Capacity Unit Of Measure,Annual Energy Consumption,Annual Energy Consumption Unit Of Measure,length_range,width_range,Number Of Sets,Number of Speeds,Mixer Feature,Mixer Feature,Mixer Feature,Mixer Feature,Mixer Feature,Mixer Feature,Mixer Feature,Mixer Feature,Mixer Feature,Mixer Feature,Energy efficiency class,Blade Material Type,Blade Edge,Item Width Unit Of Measure,item_width,item_height,blade_length,size_map,Item Height Unit Of Measure,Item Dimensions Unit Of Measure,Item Length Unit Of Measure,item_length,Blade Length Unit Of Measure,Display Depth,Item Display Depth Unit Of Measure,Shipping Weight,Website Shipping Weight Unit Of Measure,Vacuum Sealer Bag Length,Item Display Length Unit Of Measure,Display Width,Item Display Width Unit Of Measure,Display Height,Item Display Height Unit Of Measure,Display Diameter,Item Display Diameter Unit Of Measure,Vacuum & Floor Care Item Weight,Item Display Weight Unit Of Measure,Volume,Volume Capacity Name Unit Of Measure,Volume Capacity of the appliance,Item Display Volume Unit Of Measure,Unit of Measure (Per Unit Pricing),Unit Count (Per Unit Pricing),Kitchen Scale Capacity,Maximum Weight Capacity Unit Of Measure,Capacity,Package Weight Unit Of Measure,Package Dimensions Unit Of Measure,package_weight,Package Length,Package Width,Package Height,Fulfillment Centre ID,specific_uses_for_product1,specific_uses_for_product2,specific_uses_for_product3,specific_uses_for_product4,specific_uses_for_product5,Product fiche,Energy efficiency label,legal_disclaimer_description,safety_warning,fedas_id,Age restriction bladed products,EU Toys Safety Directive Age-Specific Warning,EU Toys Safety Directive Non-Age-Specific Warning,EU Toys Safety Directive Language Warning,Country/Region of declaration,Manufacturer Warranty Description,Batteries are Included,Is this product a battery or does it utilise batteries?,Battery type/size,Battery type/size,Battery type/size,Number of batteries,Number of batteries,Number of batteries,Battery composition,Battery weight (grams),battery_weight_unit_of_measure,Number of Lithium Metal Cells,Number of Lithium-ion Cells,Lithium Battery Packaging,Watt hours per battery,lithium_battery_energy_content_unit_of_measure,Lithium content (grams),lithium_battery_weight_unit_of_measure,Applicable Dangerous Goods Regulations,Applicable Dangerous Goods Regulations,Applicable Dangerous Goods Regulations,Applicable Dangerous Goods Regulations,Applicable Dangerous Goods Regulations,UN number,Safety Data Sheet (SDS) URL,Item Weight,item_weight_unit_of_measure,Volume,item_volume_unit_of_measure,Flash point (°C)?,Categorization/GHS pictograms (select all that apply),Categorization/GHS pictograms (select all that apply),Categorization/GHS pictograms (select all that apply),Recommended Retail Price,weee_tax_value,Number of Items,weee_tax_value_unit_of_measure,Stop Selling Date,Max Order Quantity,Merchant Shipping Group,Offering Release Date,Scheduled Delivery SKU List,Launch Date,Currency,Package Quantity,Product Tax Code,Release Date,Sale Price,Sale From Date,Sale End Date,Item Condition,Offer Condition Note,Handling Time,Restock Date,Maximum Aggregate Ship Quantity,Can Be Gift Messaged,Is Gift Wrap Available?,Is Discontinued by Manufacturer,RRP,Business Price,Quantity Price Type,Quantity Lower Bound 1,Quantity Price 1,Quantity Lower Bound 2,Quantity Price 2,Quantity Lower Bound 3,Quantity Price 3,Quantity Lower Bound 4,Quantity Price 4,Quantity Lower Bound 5,Quantity Price 5,National Stock Number,United Nations Standard Products and Services Code,Pricing Action
feed_product_type,item_sku,brand_name,external_product_id,external_product_id_type,item_name,manufacturer,recommended_browse_nodes,standard_price,quantity,main_image_url,other_image_url1,other_image_url2,other_image_url3,other_image_url4,other_image_url5,other_image_url6,other_image_url7,other_image_url8,swatch_image_url,parent_child,parent_sku,relationship_type,variation_theme,update_delete,gtin_exemption_reason,part_number,product_description,wattage_unit_of_measure,runtime_unit_of_measure,output_capacity_unit_of_measure,catalog_number,bullet_point1,bullet_point2,bullet_point3,bullet_point4,bullet_point5,generic_keywords,platinum_keywords1,platinum_keywords2,platinum_keywords3,platinum_keywords4,platinum_keywords5,target_audience_keywords,scent_name,wattage,color_name,color_map,size_name,number_of_pieces,material_type,special_features1,special_features2,special_features3,special_features4,special_features5,runtime,power_source_type,output_capacity,operating_pressure,operating_pressure_unit_of_measure,noise_level,noise_level_unit_of_measure,compatible_devices,capacity_unit_of_measure,annual_energy_consumption,annual_energy_consumption_unit_of_measure,length_range,width_range,number_of_sets,number_of_speeds,included_components1,included_components2,included_components3,included_components4,included_components5,included_components6,included_components7,included_components8,included_components9,included_components10,efficiency,blade_material_type,blade_edge_type,item_width_unit_of_measure,item_width,item_height,blade_length,size_map,item_height_unit_of_measure,item_dimensions_unit_of_measure,item_length_unit_of_measure,item_length,blade_length_unit_of_measure,item_display_depth,item_display_depth_unit_of_measure,website_shipping_weight,website_shipping_weight_unit_of_measure,item_display_length,item_display_length_unit_of_measure,item_display_width,item_display_width_unit_of_measure,item_display_height,item_display_height_unit_of_measure,item_display_diameter,item_display_diameter_unit_of_measure,item_display_weight,item_display_weight_unit_of_measure,volume_capacity_name,volume_capacity_name_unit_of_measure,item_display_volume,item_display_volume_unit_of_measure,unit_count_type,unit_count,maximum_weight_capacity,maximum_weight_capacity_unit_of_measure,capacity,package_weight_unit_of_measure,package_dimensions_unit_of_measure,package_weight,package_length,package_width,package_height,fulfillment_center_id,specific_uses_for_product1,specific_uses_for_product2,specific_uses_for_product3,specific_uses_for_product4,specific_uses_for_product5,product_efficiency_image_url,energy_efficiency_image_url,legal_disclaimer_description,safety_warning,fedas_id,customer_restriction_type,eu_toys_safety_directive_age_warning,eu_toys_safety_directive_warning,eu_toys_safety_directive_language,country_string,warranty_description,are_batteries_included,batteries_required,battery_type1,battery_type2,battery_type3,number_of_batteries1,number_of_batteries2,number_of_batteries3,battery_cell_composition,battery_weight,battery_weight_unit_of_measure,number_of_lithium_metal_cells,number_of_lithium_ion_cells,lithium_battery_packaging,lithium_battery_energy_content,lithium_battery_energy_content_unit_of_measure,lithium_battery_weight,lithium_battery_weight_unit_of_measure,supplier_declared_dg_hz_regulation1,supplier_declared_dg_hz_regulation2,supplier_declared_dg_hz_regulation3,supplier_declared_dg_hz_regulation4,supplier_declared_dg_hz_regulation5,hazmat_united_nations_regulatory_id,safety_data_sheet_url,item_weight,item_weight_unit_of_measure,item_volume,item_volume_unit_of_measure,flash_point,ghs_classification_class1,ghs_classification_class2,ghs_classification_class3,list_price,weee_tax_value,number_of_items,weee_tax_value_unit_of_measure,offering_end_date,max_order_quantity,merchant_shipping_group_name,offering_start_date,delivery_schedule_group_id,product_site_launch_date,currency,item_package_quantity,product_tax_code,merchant_release_date,sale_price,sale_from_date,sale_end_date,condition_type,condition_note,fulfillment_latency,restock_date,max_aggregate_ship_quantity,offering_can_be_gift_messaged,offering_can_be_giftwrapped,is_discontinued_by_manufacturer,uvp_list_price,business_price,quantity_price_type,quantity_lower_bound1,quantity_price1,quantity_lower_bound2,quantity_price2,quantity_lower_bound3,quantity_price3,quantity_lower_bound4,quantity_price4,quantity_lower_bound5,quantity_price5,national_stock_number,unspsc_code,pricing_action
,RF6306,Royalford,99999999,EAN,Royalford Kitchen Brush - Marinating and Basting Brush with Ergonomically designed Polymer Handle - Nylon Bristles helps to glaze marinade over food evenly,Royalford,9740904433,5.0,50,https://wig-wams-s3-bucket.s3.amazonaws.com/RF6306.jpg,,,,,,,,,,,,,,Update,,RF6306,"<p><strong>Everyday kitchen tools, extraordinary quality</strong></p><p>Marinade your chicken, fish and veggies like a pro chef with the Royalford Marinating Brush with Gripped Handle. The uniquely designed bristles of this marinating brush help glaze marinade over food evenly. What's more? The specially designed gripped handle of this marinating brush offers a safe grip. That's why everyone needs this marinating professional's brush. Its soft-but-durable nylon bristles are incredibly gentle and heat resistant too. So as well as being ideal for glazing your creations with egg wash or oil, it's also great for basting and marinating meats and poultry. No more hassle with nylon bristles in your food! Withstand high temperatures during grilling or cooking. Won't melt, discolor or shrink, like some plastic or wooden brushes.<strong> </strong>And is useful in many applications, whether in the barbeque, kitchen, grilling, roasting, glazing, egg wash, basting meats &amp; vegetables!&nbsp; Marinade with oil, butter, sauces etc.</p><p>&nbsp;</p><h4>The smooth polymer handle ensures you get a firm grip on this basting brush, and gives it a lovely shimmering look that will add a smart touch to any kitchen. This basting brush is so versatile, it's sure to become a firm favourite in your kitchen. Luckily it's built to last. This brush is so much easier to clean than standard pastry brushes. Even thick ingredients wash away in seconds, with no clogging or sticking. Amazing! Finished cooking your favorite items for the day? The brush has a handy hanging loop built in to the handle. Simply place it on a utensil rack or hook and it will be right where you need it next time.</h4><p>&nbsp;</p>",null,,,,"EASY TO CLEAN, HANGING LOOP - Because the bristles don't clump together, this pastry / basting brush is a joy to clean. You can rinse off anything from a sticky soy marinade to vegetable oil with little trouble. Just run it under the tap or pop it in your dishwasher. Finished cooking your favorite items for the day? The brush has a handy hanging loop built in to the handle. Simply place it on a utensil rack or hook and it will be right where you need it next time.","POLYMER HANDLE, BUILT TO LAST - The smooth polymer handle ensures you get a firm grip on this basting brush, and gives it a lovely shimmering look that will add a smart touch to any kitchen. This basting brush is so versatile, it's sure to become a firm favourite in your kitchen. Luckily it's built to last. Its combination of hardwearing nylon bristles and a polymer handle means you can rely on it for daily cooking and baking tasks.","BRUSHING AND BASTING - Royalford's professional's high quality nylon brush is heat resistant, so you can go from washing sausage rolls with beaten egg to basting roast beef with fat. And is useful in many applications, whether in the barbeque, kitchen, grilling, roasting, glazing, egg wash, basting meats & vegetables!  Marinade with oil, butter, sauces etc. The brush's bristles won't melt, and they don't transfer odours or flavours between your recipes.","EVEN SPREAD, QUALITY DESIGN & HIGH HEAT RESISTANCE - Marinating meat, glazing pastries - it's all smooth work for this Marinating brush. The bristles don't clump up, which means you can spread evenly across the surfaces of your bakes and roasts. Quick and effortless coating action. No more hassle with nylon bristles in your food! Withstand high temperatures during grilling or cooking. Won't melt, discolor or shrink, like some plastic or wooden brushes.","NYLON BRISTLES - Marinade your chicken, fish and veggies like a pro chef with the RoyalFord Marinating Brush with Gripped Handle. The uniquely designed bristles of this marinating brush help glaze marinade over food evenly. Its bristles won't shed or frizz, so spreading melted butter, egg wash or oil is smooth and easy. Marinade and coat quickly on your food and less soaking in the brush.",,,,,,,,,,white,White,,,Plastic,easy to use,lightweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,,,,,null,,null,,,,,1.0,KG,,null,,null,,null,,,,null,,,,null,,,,,,KG,CM,1.0,4.0,2.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,New,,,,,,,,,,,,,,,,,,,,,,,
