TemplateType=fptcustomlite,Version=2019.0801,TemplateSignature=U0tJTl9DQVJFX1BST0RVQ1QsSE9NRV9QQVJUUyxIT01FLFNNQUxMX0hPTUVfQVBQTElBTkNFUw==,The top 3 rows are for Amazon.com use only. Do not modify or delete the top 3 rows.,,,,,,,,,,,,,Fulfillment,,,,,,,,Offer
Country,Product Type,Seller SKU,Brand Name,Product ID,Product ID Type,Product Name,Manufacturer,Product Description,Manufacturer Part Number,,Recommended browse nodes,Your price,Quantity,Update Delete,Main Image URL,Package Height,Package Length,Package Length Unit Of Measure,Package Width,Fulfillment Center ID,Package Dimensions Unit Of Measure,Package Weight,Package Weight Unit Of Measure,Package Quantity
country_id,feed_product_type,item_sku,brand_name,external_product_id,external_product_id_type,item_name,manufacturer,product_description,part_number,bullet_point,recommended_browse_nodes,standard_price,quantity,update_delete,main_image_url,package_height,package_length,package_length_unit_of_measure,package_width,fulfillment_center_id,package_dimensions_unit_of_measure,package_weight,package_weight_unit_of_measure,item_package_quantity
b'UAE',b'Tableware',b'RF1097-GT6',b'Royalford',b'62940099047sdsd',b'EAN',"b'Royalford RF1097-GT6 Glass Tumbler Set, 6piecessasasa'",b'Royalford',"b'Sporting a classic design, the 6-piece Royalford RF1097-GT6 Glass Tumbler Set is ideal for everyday use. Designed with a sturdy, tapering base, these tumblers are stable on various surfaces. They are also durable and long-lasting owing to the high-quality glass material. Built with a capacity of 230ml, this Royalford glass tumbler set lets you pour out an adequate amount of water or juice.'",b'RF1097-GT6',"b'- [\n- ""\n-  \n- S\n- e\n- t\n-  \n- o\n- f\n-  \n- 6\n-  \n- t\n- u\n- m\n- b\n- l\n- e\n- r\n- s\n- \\\n- n\n-  \n- ""\n- ,\n-  \n- ""\n-  \n- C\n- l\n- a\n- s\n- s\n- i\n- c\n-  \n- d\n- e\n- s\n- i\n- g\n- n\n- \\\n- n\n-  \n- ""\n- ,\n-  \n- ""\n-  \n- C\n- r\n- a\n- f\n- t\n- e\n- d\n-  \n- f\n- r\n- o\n- m\n-  \n- g\n- l\n- a\n- s\n- s\n- \\\n- n\n-  \n- ""\n- ,\n-  \n- ""\n-  \n- S\n- t\n- u\n- r\n- d\n- y\n- ,\n-  \n- t\n- a\n- p\n- e\n- r\n- i\n- n\n- g\n-  \n- b\n- a\n- s\n- e\n- \\\n- n\n-  \n- ""\n- ,\n-  \n- ""\n-  \n- C\n- a\n- p\n- a\n- c\n- i\n- t\n- y\n- :\n-  \n- 2\n- 3\n- 5\n- m\n- l\n- ""\n- ]'",b'',,2976,b'',b'None',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'UAE',b'Tableware',b'RF1101-GT6',b'Royalford',b'6294009904801',b'EAN',"b'Royalford RF1101-GT6 Highball Glass Set, 3pieces'",b'Royalford',"b""Crafted with a simple, classic design, the Royalford RF1101-GT6 Highball Glass Set is a must-have. Beautifully made from high-quality glass, this set is sturdy and durable. The tall design of this Royalford highball glass set makes it ideal for serving a range of cocktails or mixed drinks. What's more, thanks to its capacity of 325ml, this set of glasses lets you pour out the right quantity of drinks.""",b'RF1101-GT6',"b'- [\n- ""\n-  \n- S\n- e\n- t\n-  \n- o\n- f\n-  \n- 3\n-  \n- h\n- i\n- g\n- h\n- b\n- a\n- l\n- l\n-  \n- g\n- l\n- a\n- s\n- s\n- e\n- s\n- \\\n- n\n-  \n- ""\n- ,\n-  \n- ""\n-  \n- F\n- e\n- a\n- t\n- u\n- r\n- i\n- n\n- g\n-  \n- a\n-  \n- c\n- l\n- a\n- s\n- s\n- i\n- c\n-  \n- d\n- e\n- s\n- i\n- g\n- n\n- \\\n- n\n-  \n- ""\n- ,\n-  \n- ""\n-  \n- C\n- r\n- a\n- f\n- t\n- e\n- d\n-  \n- f\n- r\n- o\n- m\n-  \n- g\n- l\n- a\n- s\n- s\n- \\\n- n\n-  \n- ""\n- ,\n-  \n- ""\n-  \n- D\n- u\n- r\n- a\n- b\n- l\n- e\n-  \n- b\n- u\n- i\n- l\n- d\n- \\\n- n\n-  \n- ""\n- ,\n-  \n- ""\n-  \n- C\n- a\n- p\n- a\n- c\n- i\n- t\n- y\n- :\n-  \n- 3\n- 2\n- 5\n- m\n- l\n- ""\n- ]'",b'',,3885,b'',b'None',b'',b'',b'',b'',b'',b'',b'',b'',b''
